English,Russian
you,ты
i,я
the,то
to,к
a,а.
s,с
it,Это
and,а также
that,что
t,т
of,из
is,является
in,в
what,какие
we,мы
me,меня
this,это
he,он
for,для
my,мой
on,на
have,имеют
your,ваш
do,делать
was,было
m,М.
no,нет
not,нет
be,быть
are,находятся
don,Дон
re,решающее значение
know,знать
can,жестяная банка
with,с участием
but,но
all,все
so,так
just,просто
there,там
here,здесь
they,Oни
like,нравиться
ll,линять
get,получать
she,она
go,идти
if,если
right,Правильно
out,из
about,о
up,вверх
at,в
him,его
now,Теперь
oh,ой
one,один
come,прийти
well,хорошо
her,ее
how,как
yeah,Ага
ve,ведущий
will,буду
got,есть
want,хотеть
think,считать
as,в качестве
see,видеть
did,делал
good,хороший
who,кто
why,Почему
from,из
let,позволять
his,его
yes,да
when,когда
going,собирается
time,время
an,ан
okay,Ладно
back,назад
look,Смотреть
us,нас
would,бы
them,их
where,куда
were,мы
take,брать
then,тогда
or,или
been,был
our,наш
gonna,собираюсь
tell,рассказать
really,В самом деле
man,человек
some,некоторые
say,сказать
hey,Привет
could,мог
d,подразделение
didn,садится
by,к
need,необходимость
something,что-то
has,имеет
too,тоже
more,более
way,способ
down,вниз
make,делать
very,очень
never,никогда
only,Только
people,люди
over,над
because,потому что
little,маленький
please,пожалуйста
love,любовь
should,должен
mean,иметь в виду
said,сказал
sorry,извиняюсь
give,давать
off,выключенный
am,являюсь
thank,благодарить
any,любой
two,два
even,даже
much,много
doing,делает
sure,Конечно
thing,вещь
these,эти
help,помощь
first,первый
into,в
anything,что-нибудь
still,еще
find,найти
life,жизнь
nothing,ничего такого
sir,сэр
day,день
god,Бог
work,Работа
their,их
uh,Эм-м-м
again,опять таки
maybe,может быть
must,должен
before,до
other,Другие
wait,ждать
stop,останавливаться
call,вызов
after,после
won,победил
talk,разговаривать
away,прочь
than,чем
thought,подумал
home,дом
night,ночь
put,положил
great,большой
those,те
last,последний
better,лучше
everything,все
told,сказал
mr.,Мистер.
new,новый
things,вещи
always,всегда
keep,хранить
long,длинный
years,годы
leave,оставлять
does,делает
money,Деньги
around,около
doesn,неразрешительный
name,имя
place,место
ever,Когда-либо
feel,Чувствовать
guys,ребята
father,отец
guy,парень
made,сделал
old,Старый
isn,ИЗН
which,который
big,большой
lot,много
done,сделано
hello,Привет
nice,отлично
believe,полагать
girl,девочка
someone,кто-то
fine,отлично
thanks,Благодарность
wanted,хотел
kind,Добрый
coming,приходящий
house,дом
every,каждый
ok,Ok
through,через
being,существование
course,курс
stay,оставаться
left,левый
dad,папа
enough,достаточно
happened,произошло
came,пришел
may,мая
mother,мать
wrong,неправильный
world,Мир
bad,плохой
might,мог бы
three,три
today,Cегодня
listen,Слушать
another,Другая
understand,понимать
hear,слышать
remember,помнить
ask,просить
own,собственный
same,тем же
show,Показать
else,еще
kill,убийство
talking,разговор
found,нашел
next,следующий
getting,получающий
care,уход
car,автомобиль
looking,смотрящий
son,сын
try,пытаться
woman,женщина
went,пошел
hi,Привет
dead,мертвых
many,много
mind,разум
wasn,Разве
friend,друг
best,Лучший
mom,Мама
hell,ад
morning,утро
trying,пытающийся
boy,мальчик
together,вместе
yourself,сам
job,работа
saw,пила
family,семья
real,настоящий
without,без
baby,детка
room,комната
wouldn,быстрый
already,уже
move,двигаться
most,самый
seen,видимый
live,жить
miss,Мисс
actually,на самом деле
huh,Хм
shit,дерьмо
both,оба
heard,слышал
once,однажды
ready,готов
head,голова
called,называется
used,использовал
idea,идея
knew,знал
hold,держать
happy,счастливый
door,дверь
such,такой
fuck,Блядь
brother,брат
also,также
pretty,хорошенький
bit,немного
took,взял
haven,выступ
yet,пока что
men,мужчины
whole,весь
start,Начните
use,использовать
while,в то время как
since,поскольку
wife,жена
days,дни
guess,Угадай
tomorrow,завтра
matter,иметь значение
meet,встретиться
bring,приносить
tonight,сегодня ночью
everyone,все
run,запустить
wanna,хочу
hard,жесткий
ah,ах
alone,в одиночестве
myself,себя
school,школа
gone,ушел
